magnitude,date_time,alert,tsunami,depth,latitude,longitude
7.0,11,0,1,14.0,-9.7963,159.596
6.9,11,0,0,25.0,-4.9559,100.738
7.0,11,0,1,579.0,-20.0508,-178.346
7.3,11,0,1,37.0,-19.2918,-172.129
6.6,11,0,1,624.464,-25.5948,178.278
7.0,11,0,1,660.0,-26.0442,178.381
6.8,11,0,1,630.379,-25.9678,178.363
6.7,10,0,1,20.0,7.6712,-82.3396
6.8,9,3,1,20.0,18.33,-102.913
7.6,9,3,1,26.943,18.3667,-103.252
6.9,9,3,1,10.0,23.1444,121.307
6.5,9,0,1,10.0,23.029,121.348
7.0,9,0,1,137.0,-21.2077,170.239
7.6,9,3,1,116.0,-6.2237,146.471
6.6,9,1,0,12.0,29.7263,102.279
6.6,8,0,1,30.0,-32.6922,-178.959
7.0,7,3,1,33.729,17.5978,120.809
6.5,6,0,0,622.73,-9.0618,-71.1647
7.2,5,0,1,236.0,-14.8628,-70.3081
6.9,5,0,1,10.0,-54.1325,159.027
6.8,5,0,1,220.0,-23.6141,-66.7236
6.6,4,0,1,27.0,11.5538,-86.9919
7.0,3,0,1,10.0,-22.5732,170.349
6.9,3,0,1,10.0,-22.72,170.277
6.7,3,0,1,24.0,23.3421,121.636
7.3,3,2,1,41.0,37.7015,141.587
6.7,3,0,0,28.0,-0.6831,98.6034
6.6,3,0,1,24.0,-30.0528,-177.74
6.8,2,0,1,535.0,-23.7852,-179.968
6.5,2,0,0,110.0,-4.455,-76.9395
6.5,1,0,1,8.0,-29.535,-176.729
6.6,1,0,0,33.0,-6.9291,105.251
6.5,1,4,1,37.0,52.502,-168.08
6.5,1,4,1,37.0,52.502,-168.08
6.6,1,0,1,19.0,52.6252,-168.15
6.7,1,4,1,33.0,52.48,-167.736
6.7,1,4,1,33.0,52.48,-167.736
6.8,1,0,1,20.0,52.6563,-167.917
6.6,1,0,0,21.0,35.1456,31.9095
6.6,1,1,0,13.0,37.8167,101.299
7.3,12,0,0,165.49,-7.5924,127.581
7.3,12,0,1,14.27,-7.6033,122.2
7.5,11,3,1,126.0,-4.4898,-76.8461
6.6,11,0,1,12.0,23.5414,126.48
6.9,10,0,1,51.6,56.2581,-156.492
6.9,10,0,1,535.0,-21.1704,174.54
7.3,10,0,1,527.0,-21.1036,174.895
6.5,9,0,1,21.0,12.1598,-87.8542
7.0,9,2,1,20.0,16.9502,-99.7877
7.1,8,0,1,6.0,-60.3026,-24.9992
6.6,8,0,1,7.0,-60.1023,-24.4608
6.9,8,0,1,93.0,-14.892,167.085
6.9,8,0,1,16.7,-58.3814,-23.3318
7.2,8,2,1,10.0,18.3521,-73.4804
6.9,8,0,1,33.3,55.2364,-157.707
6.9,8,0,1,20.74,55.2657,-157.68
8.1,8,0,0,22.79,-58.4157,-25.3206
7.5,8,0,1,47.23,-57.5959,-25.1874
7.1,8,0,1,55.14,6.4547,126.742
8.2,7,0,1,46.66,55.4742,-157.917
8.2,7,3,1,35.0,55.3154,-157.829
6.7,7,0,1,110.0,13.6989,120.713
6.7,7,0,1,10.0,7.5904,-82.8813
6.5,6,0,1,25.0,-30.2144,-177.773
6.5,5,0,1,10.0,-16.4796,-177.356
7.3,5,1,0,10.0,34.5861,98.2551
6.7,5,0,0,11.0,0.1684,96.6475
6.7,5,0,0,10.0,-17.2495,66.3745
6.9,5,0,1,43.0,38.2296,141.665
6.5,4,0,0,246.0,-21.6857,-177.064
6.5,4,0,0,301.0,-18.9204,-176.235
7.0,3,3,1,43.0,38.4752,141.607
6.6,3,0,1,13.23,54.7018,163.208
6.5,3,0,0,24.0,-28.4792,-176.619
8.1,3,0,1,28.93,-29.7466,-177.224
7.4,3,0,1,43.0,-29.6131,-177.842
7.3,3,0,1,10.0,-37.596,179.544
7.1,2,1,1,43.98,37.6856,141.992
7.7,2,0,1,10.0,-23.2787,171.489
6.9,1,0,1,15.0,-61.8484,-55.559
7.0,1,0,1,80.0,5.0074,127.517
6.7,1,0,0,10.0,51.2407,100.443
6.7,12,0,1,10.0,-39.3264,-74.9067
7.0,10,1,0,21.0,37.8973,26.7953
7.6,10,3,1,28.37,54.662,-159.675
6.9,9,0,1,10.0,0.9604,-26.8332
6.5,9,0,0,16.0,-27.9285,-71.3937
6.8,9,0,1,21.0,-28.013,-71.1958
6.5,8,0,0,10.0,0.8696,-29.7046
6.9,8,0,0,624.0,-6.6704,123.493
6.9,8,0,0,26.0,-4.2791,101.215
6.8,8,0,0,22.0,-4.3724,101.095
6.6,8,3,1,10.0,12.0065,124.13
7.8,7,0,1,28.0,55.1079,-158.477
7.0,7,0,1,73.0,-7.847,147.755
6.6,7,0,0,533.76,-5.6368,110.678
7.4,6,1,1,20.0,15.9163,-95.9533
7.4,6,0,1,10.0,-33.2938,-177.838
6.6,6,0,1,165.0,28.9386,128.262
6.8,6,0,1,112.0,-23.2966,-68.4204
6.5,5,0,0,2.7,38.1689,-117.85
6.6,5,0,1,107.0,-12.0662,166.648
6.8,5,0,0,96.0,-6.7762,129.785
6.5,5,0,0,10.0,34.1818,25.7101
6.5,3,0,0,12.06,44.4646,-115.118
7.5,3,0,1,57.8,48.9638,157.695
7.0,2,3,1,143.0,45.6161,148.959
7.7,1,3,1,14.86,19.4193,-78.756
6.7,1,1,0,10.0,38.4312,39.0609
6.8,12,3,1,18.0,6.6969,125.174
7.1,11,0,1,33.0,1.6213,126.416
6.5,11,0,0,577.0,-21.9449,-179.511
6.6,11,0,1,10.0,-18.5747,-175.272
6.5,10,0,1,10.0,6.9098,125.178
6.6,10,3,1,15.0,6.7567,125.008
6.7,9,0,1,11.0,-35.4758,-73.163
6.5,9,3,1,12.26,-3.4528,128.37
